Unnamed: 0,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",Mexico,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,Singapore,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,,0.491087,0.598202,0.580511,,,,,0.759514,,0.692878,0.329339,,,0.788737,0.999832,,,0.843243,,,,1.135126,1.441364,0.611576,,0.784929,0.362299,0.698189,0.321784,0.644692,,,1.227866,,0.733008,0.678146,38.71613,1.19655,,0.819732
1995.0,,0.534091,0.592404,0.659695,,,,,0.847447,,0.812246,0.416924,1.118732,,0.791004,1.031956,,,0.944989,1.041508,,,1.208386,1.52384,0.645929,,0.869366,0.414763,0.758534,0.377944,0.718267,,,1.299611,,0.881944,0.740458,26.41025,1.277769,,0.861019
1996.0,,0.54072,0.587025,0.660027,,,,,0.825504,,0.798842,0.452021,1.095805,,0.757453,1.02957,,,0.915258,0.982567,0.655494,,1.093079,1.401061,0.656643,,0.852402,0.43944,0.766796,0.376132,0.780567,,,1.248464,,0.893158,0.823296,14.48388,1.252538,,0.865714
1997.0,,0.521764,0.570777,0.656125,0.616241,,,,0.734235,,0.723067,0.426151,0.944362,,0.732338,1.011687,,,0.81101,0.902327,0.579658,0.566232,1.000527,1.272554,0.650246,,0.767104,0.40651,0.716976,0.384058,0.804958,,,1.120243,,0.788608,0.822986,7.447609,1.224573,,0.853977
1998.0,,0.463718,0.578239,0.611803,0.565736,,,0.592634,0.722267,,0.712076,0.428181,0.918531,,0.703466,0.973602,,0.452441,0.81917,0.796328,0.575344,0.534232,0.939266,1.120205,0.611764,,0.737016,0.337452,0.607593,0.348505,0.867669,,,0.983063,,0.753791,0.717741,4.06319,1.109613,,0.825808
1999.0,,0.441779,0.568907,0.533616,0.570638,,,0.546697,0.68789,,0.675478,0.408327,0.840456,0.650148,0.662053,0.944922,,0.515778,0.787744,0.736529,0.552177,0.514328,0.971231,1.07238,0.634718,,0.688791,0.369603,0.608061,0.325257,0.911711,0.537255,,0.975903,,0.718762,0.694993,2.386965,1.050403,,0.815382
2000.0,,0.459531,0.57651,0.551378,0.622228,,,0.520698,0.614182,,0.62044,0.381346,0.778759,0.608497,0.672301,0.939301,,0.606569,0.694697,0.747102,0.503135,0.491227,0.975243,1.115264,0.682879,,0.633413,0.474061,0.614835,0.338542,0.88114,0.50731,,1.013781,,0.67617,0.676324,1.509008,1.075199,,0.8285
2001.0,,0.450929,0.569386,0.53179,0.607059,,,0.530711,0.601867,,0.605457,0.490734,0.721493,0.606053,0.744108,0.917656,,0.561085,0.616369,0.706396,0.498699,0.497884,0.891859,0.940804,0.667876,,0.616934,0.442367,0.620003,0.326615,0.812613,0.515926,,0.918956,,0.609559,0.625829,0.804175,0.997158,0.471575,0.821527
2002.0,,0.460081,0.613056,0.507387,0.584898,,,0.577734,0.633654,,0.632608,0.514831,0.719549,0.637937,0.838206,0.892495,,0.589479,0.622462,0.629206,0.532405,0.501081,0.855999,0.903028,0.683857,,0.631531,0.43691,0.611902,0.344882,0.802656,0.54014,,0.852373,,0.637522,0.63075,0.595815,0.960954,0.484089,0.81338
2003.0,,0.506014,0.730556,0.530876,0.650241,0.408456,,0.674656,0.75675,,0.746081,0.658089,0.824495,0.763057,0.876325,0.88159,0.848543,0.649052,0.727738,0.685398,0.634832,0.501356,0.886898,0.925944,0.717763,,0.743042,0.49699,0.685632,0.377114,0.80304,0.596906,,0.844399,,0.748942,0.667795,0.675577,0.950081,0.537947,0.826291
2004.0,0.615441,0.593545,0.870593,0.597278,0.730403,0.5428,,0.767914,0.836527,,0.827878,0.738571,0.911325,0.844725,0.889442,0.890639,0.920981,0.726702,0.806971,0.730205,0.714387,0.562208,0.938161,1.023829,0.801903,,0.821052,0.605994,0.79081,0.477506,0.813641,0.696392,,0.872255,,0.820693,0.709136,0.825746,0.994122,0.601813,0.858119
2005.0,0.644113,0.700743,0.941417,0.669904,0.831299,0.67394,0.73661,0.810098,0.84442,,0.866421,0.760204,0.920943,0.858587,0.961588,0.904145,0.927676,0.841548,0.832978,0.788294,0.747286,0.644608,0.939155,1.068268,0.867981,0.724764,0.850663,0.766062,0.85001,0.565293,0.806213,0.748503,,0.903913,,0.840524,0.760363,0.92729,1.007546,0.693884,0.88546
2006.0,0.70991,0.800958,1.022166,0.753569,0.893412,0.918471,0.774917,0.850045,0.867282,,0.915344,0.797685,0.948687,0.878516,1.040008,0.913041,0.93646,0.852102,0.859245,0.828989,0.793701,0.714799,0.915457,1.051864,0.933469,0.762175,0.889005,0.922139,0.852379,0.781099,0.872074,0.799032,1.065099,0.966736,,0.887917,0.800485,0.902055,1.020752,0.79371,0.917012
2007.0,0.803593,0.895966,1.179576,0.832835,0.969276,0.99612,0.857011,0.959539,0.957868,0.963132,1.024616,0.936248,1.041408,0.977512,0.861073,0.930518,1.02697,0.927258,0.939468,0.852844,0.910143,0.834569,0.924966,1.057632,0.980903,0.858805,0.985702,1.015171,0.976339,0.905722,0.956058,0.92303,1.148698,0.98258,,1.003625,0.846855,1.12363,1.046825,0.944424,0.961751
2008.0,1.016087,1.118703,1.284763,1.051295,1.11802,0.950763,1.019028,1.092023,1.045705,1.092572,1.116764,1.045973,1.122409,1.082026,0.916459,0.968437,1.105382,1.105811,1.0749,1.090115,1.030467,1.289812,0.988936,1.098127,1.077347,1.026339,1.106777,1.275265,1.123092,0.930405,1.017385,1.050513,1.551564,1.061825,,1.068256,0.934242,1.311333,1.068797,1.123778,1.019677
2009.0,0.906995,0.971039,0.974041,0.909031,0.898474,0.843534,0.974402,0.977514,0.968619,0.967142,0.986516,0.953861,0.971573,0.975045,1.023356,0.983297,0.967011,0.892,0.909269,0.923695,0.957643,1.195797,0.978511,0.938104,0.920747,0.929123,0.962955,0.893172,0.871227,0.810386,0.943212,0.910429,1.00938,0.944785,0.983707,0.938719,0.937285,0.9118,0.951915,0.858006,0.972659
2010.0,0.980898,1.190926,1.086471,1.097527,1.012327,1.079438,1.004965,0.963953,0.950488,0.954631,0.954926,0.962416,0.965563,0.949243,1.012194,1.026455,0.951077,1.044436,0.93955,1.007809,0.966704,1.022688,1.018331,1.006965,1.033287,1.067127,0.966578,1.027022,1.065767,1.057443,1.008744,0.939707,1.211141,1.020887,0.965477,0.986725,1.023339,0.969505,1.018357,0.900471,1.020091
2011.0,1.161777,1.506621,1.296164,1.353088,1.125405,1.188392,1.157898,1.05812,1.029777,1.038307,1.051103,1.109203,1.063064,1.038934,1.008424,1.107191,1.016693,1.208809,0.951531,1.120993,1.086796,1.152582,1.095702,1.053777,1.183814,1.24966,1.0766,1.306286,1.255365,1.296422,1.01208,1.02407,1.63996,1.132335,1.073212,1.092296,1.081686,0.973427,1.092266,1.013972,1.102251
2012.0,1.190156,1.392142,1.203724,1.286023,1.094678,1.114688,1.210693,0.98385,0.966807,1.020498,0.991667,1.043198,0.986213,0.972361,1.025723,1.148639,0.93235,1.194643,0.931236,1.080609,1.051311,1.241288,1.071615,1.01151,1.152714,1.249156,1.024828,1.296483,1.180006,1.259662,1.023108,0.973083,1.684322,1.127096,0.966094,1.032283,1.088673,0.879031,1.067652,0.904433,1.106186
2013.0,1.173298,1.292678,1.260535,1.245435,1.076825,1.057006,1.234116,0.995115,0.992988,1.038846,1.023059,1.065009,1.001947,0.999844,0.880997,1.163218,0.93825,1.147193,0.91104,1.174425,1.0962,1.14483,0.97911,0.996562,1.149498,1.204148,1.043807,1.309561,1.237302,1.178442,1.033012,1.007645,1.608349,1.094909,0.977844,1.022443,1.083277,0.833165,1.041197,0.842002,1.10156
2014.0,1.144339,1.162458,1.263106,1.179781,1.053775,1.015594,1.223015,0.97272,0.990814,1.007783,1.012713,1.038391,0.991546,1.091693,0.818877,1.186974,0.913237,1.064627,0.92278,1.177163,1.107475,1.160839,0.931947,0.97458,1.098444,1.172776,1.017546,1.190441,1.267015,1.097449,1.006967,1.012684,1.520855,1.05647,0.939578,0.999871,1.069303,0.716037,1.020926,0.89039,1.095968
2015.0,0.97024,0.880198,1.003401,0.919489,0.871742,0.852408,1.188685,0.805972,0.834775,0.83961,0.851097,0.833414,0.816892,0.91153,0.819132,1.189346,0.757612,0.887445,0.839432,1.027167,0.941962,1.108614,0.824658,0.860001,0.916976,0.94574,0.827361,0.825723,0.99926,0.928442,0.937456,0.851853,0.989454,0.906795,0.770192,0.820836,1.025422,0.51088,0.929409,0.648696,1.02665
2016.0,0.923221,0.840345,1.093007,0.85757,0.828182,0.832935,1.099602,0.784972,0.824622,0.818184,0.833295,0.825858,0.78764,0.87498,0.892501,1.167119,0.742896,0.911726,0.804494,1.012834,0.936852,1.051094,0.832347,0.810368,0.853884,0.869715,0.793859,0.712105,0.954516,0.898324,0.87535,0.81467,0.779985,0.853586,0.750966,0.792468,1.022174,0.4366,0.89013,0.584274,0.993579
2017.0,0.937587,1.011745,1.172981,0.946215,0.881015,0.959637,1.124693,0.822289,0.857531,0.840922,0.856852,0.890148,0.840617,0.901121,,1.183344,0.775202,0.983526,0.792686,1.113598,1.00148,1.035754,0.849889,0.882563,0.915062,0.899337,0.837313,0.800527,1.081768,1.01872,0.851686,0.862833,0.935867,0.878388,0.787644,0.839637,1.05901,0.367482,0.929888,0.614452,1.017468
2018.0,0.991556,1.070139,1.27954,0.996182,0.927847,0.985767,1.184515,0.880159,0.908394,0.930274,0.922871,0.948911,0.925714,0.947841,,1.205677,0.809777,1.037198,0.828769,1.141481,1.082733,1.110875,0.87556,0.913701,0.97008,0.973891,0.894123,0.956094,1.102978,1.082805,0.821052,0.917139,1.127542,0.927931,0.834827,0.890091,1.095282,0.294553,0.952579,0.580247,1.051712
2019.0,0.931069,1.122814,1.233412,0.958582,0.895446,0.926852,1.168164,0.840394,0.864996,0.911767,0.880082,0.894935,0.876224,0.903949,,1.220283,0.765554,1.027119,0.788634,1.13329,1.063281,0.991408,0.852422,0.833968,0.978384,0.95532,0.845845,0.812437,1.075939,1.046045,0.817902,0.888917,1.088059,0.904704,0.788698,0.847159,1.098563,0.232219,0.902491,0.535374,1.042737
2020.0,0.904986,1.080983,1.167518,0.894173,0.861208,0.970977,1.191566,0.840051,0.875486,0.937529,0.89038,0.8657,0.843671,0.949795,,1.224966,0.757802,0.944873,0.76296,1.104533,1.082914,0.979514,0.842761,0.781548,0.927575,0.919197,0.824281,0.613303,1.072074,1.084164,0.828367,0.898033,0.85071,0.832298,0.787582,0.830799,1.090351,0.186536,0.878855,0.534043,1.01367
2021.0,1.131734,1.508377,1.524847,1.157786,1.072463,1.252976,1.31879,0.949961,0.958445,1.058017,1.002254,1.006227,0.988841,1.090377,,1.286311,0.829148,1.107864,0.795705,1.235265,1.229925,1.082993,0.887095,0.919035,1.033503,1.026236,0.9448,1.182131,1.217942,1.416516,0.855074,0.997353,1.249025,0.950734,0.870747,0.978084,1.125653,0.164788,0.987665,0.672574,1.155206
2022.0,1.317133,1.831413,1.830783,1.316069,1.240631,1.322244,1.416234,0.994214,0.977373,1.064334,1.054496,1.107947,1.10021,1.136271,,1.379518,0.829332,1.186502,0.735521,1.267231,1.303442,1.162651,0.863568,0.952198,1.114901,1.132985,1.017501,1.913269,1.303388,1.441878,0.870579,1.035783,,1.074048,0.89759,1.018697,1.172955,0.095348,1.038594,0.652262,1.305026
2023.0,1.201177,1.674474,1.560585,1.227313,1.131925,1.307782,1.312394,1.047527,1.004401,1.124241,1.128828,1.161608,1.076377,,,1.429575,0.876153,1.104034,0.741397,1.187991,1.410189,1.093515,0.840601,0.867274,1.202967,1.082695,1.024894,1.232974,1.213223,1.405797,0.859253,1.093772,,1.020231,0.940096,0.992712,1.185014,0.072813,0.974921,0.626383,1.238525
